wavelength,intensity,reflectance,absorbance
900.893601,512,51200.0,-2.709269960975831
904.842517,550,55000.0,-2.7403626894942437
908.787034,608,60800.0,-2.783903579272735
912.727152,654,65400.0,-2.815577748324267
916.662871,712,71200.0,-2.8524799936368566
920.594191,793,79300.0,-2.8992731873176036
924.521112,870,87000.0,-2.9395192526186187
928.443633,961,96100.0,-2.9827233876685453
932.361755,1051,105100.0,-3.021602716028242
936.275478,1140,114000.0,-3.0569048513364727
941.486933,1236,123600.0,-3.092018470752797
945.390391,1295,129500.0,-3.1122697684172707
949.28945,1350,135000.0,-3.130333768495006
953.18411,1403,140300.0,-3.1470576710283598
957.074371,1458,145800.0,-3.163757523981956
960.960233,1510,151000.0,-3.1789769472931693
964.841696,1569,156900.0,-3.1956229435869368
968.718759,1617,161700.0,-3.208710019906401
972.591424,1685,168500.0,-3.2265999052073573
976.459689,1732,173200.0,-3.238547887681328
980.323555,1776,177600.0,-3.249442961442582
984.183022,1816,181600.0,-3.2591158441850663
988.038089,1857,185700.0,-3.2688119037397803
991.888758,1898,189800.0,-3.278296208091274
997.016139,1922,192200.0,-3.2837533833325265
1000.856543,1932,193200.0,-3.2860071220794747
1004.692548,1948,194800.0,-3.2895889525425965
1008.524153,1957,195700.0,-3.2915908256580013
1012.35136,1970,197000.0,-3.294466226161593
1016.174167,1973,197300.0,-3.295127085252191
1019.992575,1976,197600.0,-3.295786940251609
1023.806584,1982,198200.0,-3.2971036501492565
1027.616194,1983,198300.0,-3.2973227142053028
1031.421404,1986,198600.0,-3.2979792441593623
1035.222216,1991,199100.0,-3.2990712600274095
1039.018628,1988,198800.0,-3.2984163800612945
1042.810641,1989,198900.0,-3.2986347831244354
1047.859816,1999,199900.0,-3.3008127941181167
1051.641564,2000,200000.0,-3.3010299956639813
1055.418913,2007,200700.0,-3.3025473724874854
1059.191864,2009,200900.0,-3.3029799367482493
1062.960415,2016,201600.0,-3.3044905277734875
1066.724566,2029,202900.0,-3.307282047033346
1070.484319,2047,204700.0,-3.3111178426625054
1074.239673,2040,204000.0,-3.3096301674258988
1077.990627,2052,205200.0,-3.3121773564397787
1081.737182,2052,205200.0,-3.3121773564397787
1085.479338,2063,206300.0,-3.3144992279731516
1089.217095,2057,205700.0,-3.313234291694724
1092.950453,2061,206100.0,-3.3140779917792127
1096.679411,2061,206100.0,-3.3140779917792127
1101.644513,2054,205400.0,-3.3126004392612596
1105.363207,2049,204900.0,-3.311541958401195
1109.077502,2046,204600.0,-3.3109056293761414
1112.787397,2030,203000.0,-3.307496037913213
1116.492894,2014,201400.0,-3.3040594662175993
1120.193991,2005,200500.0,-3.302114376956201
1123.890689,1989,198900.0,-3.2986347831244354
1127.582988,1951,195100.0,-3.2902572693945182
1131.270888,1893,189300.0,-3.277150613963797
1134.954388,1836,183600.0,-3.2638726768652235
1138.63349,1767,176700.0,-3.247236549506764
1142.308192,1696,169600.0,-3.229425847920695
1145.978495,1628,162800.0,-3.2116544005531824
1149.644399,1581,158100.0,-3.198931869932209
1154.525428,1521,152100.0,-3.182129214052998
1158.181068,1500,150000.0,-3.1760912590556813
1161.832308,1475,147500.0,-3.1687920203141817
1165.479149,1464,146400.0,-3.165541076722373
1169.121591,1463,146300.0,-3.1652443261253107
1172.759633,1455,145500.0,-3.162862993321926
1176.393277,1451,145100.0,-3.161667412437736
1180.022521,1463,146300.0,-3.1652443261253107
1183.647367,1467,146700.0,-3.166430113843283
1187.267813,1473,147300.0,-3.168202746842631
1190.88386,1487,148700.0,-3.172310968521954
1194.495507,1501,150100.0,-3.1763806922432702
1198.102756,1517,151700.0,-3.1809855807867304
1202.905578,1549,154900.0,-3.190051417759206
1206.502562,1572,157200.0,-3.196452541703389
1210.095147,1597,159700.0,-3.203304916138483
1213.683332,1631,163100.0,-3.212453961040276
1217.267119,1674,167400.0,-3.2237554536572413
1220.846506,1718,171800.0,-3.2350231594952237
1224.421494,1754,175400.0,-3.2440295890300215
1227.992083,1795,179500.0,-3.254064452914338
1231.558273,1835,183500.0,-3.263636068588108
1235.120064,1876,187600.0,-3.2732328340430454
1238.677455,1911,191100.0,-3.281260687055013
1242.230448,1948,194800.0,-3.2895889525425965
1245.779041,1993,199300.0,-3.2995072987004876
1249.323235,2023,202300.0,-3.3059958827708047
1254.041984,2068,206800.0,-3.315550534421905
1257.575913,2094,209400.0,-3.3209766773428235
1261.105443,2124,212400.0,-3.3271545124094315
1264.630574,2152,215200.0,-3.3328422669943514
1268.151306,2166,216600.0,-3.3356584522893016
1271.667639,2189,218900.0,-3.3402457615679317
1275.179573,2218,221800.0,-3.3459615418131414
1278.687107,2230,223000.0,-3.3483048630481607
1282.190242,2245,224500.0,-3.351216345339342
1285.688979,2238,223800.0,-3.3498600821923312
1289.183316,2251,225100.0,-3.35237549500052
1292.673253,2237,223700.0,-3.34966598409663
1296.158792,2213,221300.0,-3.344981413927258
1299.639932,2193,219300.0,-3.341038631677523
1304.274608,2155,215500.0,-3.3334472744967503
1307.745483,2118,211800.0,-3.325925955771466
1311.211958,2077,207700.0,-3.317436496535099
1314.674035,2026,202600.0,-3.3066394410242617
1318.131712,1984,198400.0,-3.2975416678181597
1321.58499,1920,192000.0,-3.2833012287035497
1325.033869,1855,185500.0,-3.268343913951065
1328.478349,1793,179300.0,-3.253580289562183
1331.91843,1727,172700.0,-3.237292337567459
1335.354112,1661,166100.0,-3.2203696324513946
1338.785394,1592,159200.0,-3.20194306340165
1342.212277,1533,153300.0,-3.185542154854375
1345.634761,1475,147500.0,-3.1687920203141817
1349.052846,1415,141500.0,-3.150756439860309
1353.60345,1346,134600.0,-3.1290450598879582
1357.01127,1299,129900.0,-3.1136091510730277
1360.414691,1259,125900.0,-3.1000257301078626
1363.813713,1200,120000.0,-3.0791812460476247
