wavelength,intensity,reflectance,absorbance
900.893601,7803,28.805050020303447,0.5405313662793949
904.842517,8456,28.3292572615498,0.5477648116934324
908.787034,9260,28.324106077753648,0.5478437877884863
912.727152,9987,27.832896717016887,0.5554415919861523
916.662871,10868,27.256539512953626,0.5645292829777586
920.594191,11920,26.678006311407533,0.5738466290398445
924.521112,13294,26.610885361410812,0.5749406759492226
928.443633,14738,26.573149183224547,0.5755569743118797
932.361755,16153,26.498138092816482,0.5767846409471126
936.275478,17381,26.314116150911403,0.5798112126589935
941.486933,19037,26.310915775216298,0.5798640356390561
945.390391,19868,25.841863610941303,0.587676169981761
949.28945,20909,25.70947275231163,0.5899068297402432
953.18411,21512,25.0883433436352,0.6005280154678403
957.074371,22322,24.75052113363197,0.606415652363625
960.960233,23227,24.566617661057464,0.6096546331925059
964.841696,24159,24.481668389371922,0.6111589889934671
968.718759,24891,24.259051703133373,0.6151261798975489
972.591424,25884,24.35522267282667,0.6134078954439741
976.459689,26659,24.31991096352789,0.6140380193713137
980.323555,27466,24.415524383522676,0.6123339437360045
984.183022,28026,24.3823079064588,0.6129251886437463
988.038089,28758,24.52540551604155,0.6103838030337149
991.888758,29269,24.596418397102447,0.609128128003086
997.016139,29773,24.764400083177378,0.6061721883244258
1000.856543,29986,24.831481144106395,0.6049973749469414
1004.692548,29973,24.772098020579364,0.606037210201603
1008.524153,30307,25.058290476741686,0.6010485607098814
1012.35136,30347,25.11919345760355,0.5999943093032966
1016.174167,30407,25.18198908479573,0.5989099686509949
1019.992575,30523,25.34164687909935,0.5961651650143635
1023.806584,30680,25.55559257655016,0.5925140442825223
1027.616194,30666,25.624185300310838,0.5913499337490303
1031.421404,30696,25.709188673082238,0.5899116285443478
1035.222216,30818,25.859884369781742,0.5873734213611932
1039.018628,30813,25.903508108244434,0.5866414154986476
1042.810641,30831,25.98307741576632,0.5853094127112044
1047.859816,30884,26.061127706614013,0.5840067956010535
1051.641564,30871,26.048399345225036,0.5842189586175913
1055.418913,31116,26.237636285446865,0.5810752925595644
1059.191864,31165,26.248410271959305,0.5808969943922198
1062.960415,31331,26.30734869349097,0.5799229187636832
1066.724566,31489,26.31737302655222,0.5797574637287253
1070.484319,31761,26.4366572332279,0.5777934598120423
1074.239673,31675,26.262333139872318,0.5806666939068064
1077.990627,31831,26.25735191005304,0.5807490752321336
1081.737182,31963,26.227557685364495,0.5812421491028704
1085.479338,32014,26.140279252061728,0.5826897772381956
1089.217095,32030,26.0537832077958,0.5841292049182429
1092.950453,32070,25.93422233723384,0.5861267702156718
1096.679411,32062,25.817309240828422,0.588089023214247
1101.644513,31961,25.593779528820125,0.5918655754919909
1105.363207,31802,25.348520233701848,0.5960473883265225
1109.077502,31766,25.24457018429188,0.5978320192318881
1112.787397,31681,25.109175497134885,0.6001675478575119
1116.492894,31526,24.94027182254007,0.6030988174819393
1120.193991,31220,24.63660611417118,0.6084191198601614
1123.890689,31035,24.357797085069812,0.6133619917805208
1127.582988,30547,23.908738699956952,0.6214433343859966
1131.270888,29635,23.161934238395585,0.6352251757742315
1134.954388,28760,22.428623790250253,0.649197373703549
1138.63349,27681,21.54431680209209,0.6666672733920866
1142.308192,26673,20.71238876205563,0.6837698109880634
1145.978495,25780,19.975669665341673,0.6994986524601475
1149.644399,24826,19.167104166023286,0.7174434969141398
1154.525428,23964,18.411893511582345,0.7349015455891601
1158.181068,23718,18.136355294549457,0.7414499848891006
1161.832308,23508,17.882109522976396,0.7475812495139618
1165.479149,23258,17.579078644042177,0.7550038909399629
1169.121591,23175,17.399693675295815,0.7594583974817535
1172.759633,23294,17.348625903031206,0.760734917781684
1176.393277,23289,17.1872001889271,0.7647948645306929
1180.022521,23332,17.06041927157596,0.7680102999507713
1183.647367,23416,16.959636123967,0.7705834699477312
1187.267813,23565,16.8906569186109,0.7723534593348662
1190.88386,23727,16.805371599368215,0.7745518799948115
1194.495507,24038,16.838403721008426,0.7736990819585094
1198.102756,24283,16.811010266741437,0.774406186614828
1202.905578,24773,16.843100060510874,0.7735779713122921
1206.502562,25290,16.95835847917924,0.7706161885142568
1210.095147,25782,17.059936741526936,0.7680225835352437
1213.683332,26245,17.123935666982025,0.7663964124382417
1217.267119,26783,17.219254087346744,0.7639856654703788
1220.846506,27400,17.34297957452734,0.7608762873896995
1224.421494,28050,17.50728690105418,0.756781151186426
1227.992083,28587,17.599039615846337,0.7545110311016785
1231.558273,29216,17.70816917799086,0.7518263375675448
1235.120064,29807,17.786728726578353,0.7499039185058753
1238.677455,30456,17.92541670590451,0.7465307396506013
1242.230448,31079,18.03814365974834,0.7438081585795606
1245.779041,31662,18.08544059770719,0.7426709064864296
1249.323235,32228,18.12353788015116,0.7417570201332742
1254.041984,32925,18.161809727117774,0.7408408785384127
1257.575913,33312,18.130064929056978,0.7416006405663409
1261.105443,33716,18.084005127627506,0.7427053784957385
1264.630574,34149,18.05392545598731,0.7434283550589613
1268.151306,34495,18.01371329500295,0.7443967537377609
1271.667639,34779,17.95527057584487,0.74580804591463
1275.179573,35086,17.875757220662635,0.7477355523358301
1278.687107,35442,17.83783783783784,0.7486577885251263
1282.190242,35710,17.80159521435693,0.7495410784916173
1285.688979,35672,17.642898476178228,0.7534300649636276
1289.183316,35655,17.47948348383681,0.7574714048500008
1292.673253,35551,17.29958832517445,0.7619642315667161
1296.158792,35187,17.034265077505495,0.7686765987951969
1299.639932,35011,16.85611805204497,0.7732424358021766
1304.274608,34389,16.42428323757397,0.7845135741431396
1307.745483,33760,16.060512356984848,0.7942406041219725
1311.211958,33116,15.719595380387055,0.8035586368161214
1314.674035,32345,15.317623436034895,0.8148086112491291
1318.131712,31547,14.901606975843404,0.8267668951374242
1321.58499,30691,14.483650383905692,0.8391219670208014
1325.033869,29838,14.083297147280383,0.8512956573219969
1328.478349,28850,13.618897459379337,0.8658580500362467
1331.91843,27860,13.16131348585844,0.8807007664063506
1335.354112,26810,12.691064184311553,0.8965019594658514
1338.785394,25770,12.250427837992014,0.911848743590515
1342.212277,24756,11.810110821164315,0.9277460271287098
1345.634761,23968,11.476014230104427,0.9402089219063461
1349.052846,23165,11.133968095281581,0.9533500275111182
1353.60345,22050,10.669492509580769,0.9718562371388137
1357.01127,21259,10.330785341840677,0.9858666623464489
1360.414691,20663,10.072927939785702,0.9968442729155507
1363.813713,19860,9.707551458332315,1.0128902986433064
1367.208336,19036,9.33100662719109,1.0300715021213964
1370.59856,18108,8.894040678398994,1.0509008885632911
1373.984384,17028,8.375799311362519,1.0769737371329398
1377.365809,15799,7.779386275900102,1.109054663614863
1380.742836,14510,7.166316829238177,1.1447039952003082
1384.115463,13094,6.483173160237462,1.1882123785927916
1387.48369,11708,5.807021198504102,1.236046588573779
1390.847519,10522,5.229544291089099,1.2815361544383184
1394.206949,9311,4.64379762997247,1.3331267144505292
1398.679345,8193,4.1040925712568255,1.386782851908762
1402.02851,7655,3.844434735007709,1.4151675074916665
1405.373275,7212,3.6328650369482323,1.439750736130513
1408.713642,6790,3.4301071466459208,1.464692313639361
1412.049609,6505,3.2933207102029654,1.48236597475745
1415.381178,6391,3.240543555420343,1.4893821369167122
1418.708347,6219,3.156500289307793,1.5007941665315356
1422.031117,6064,3.081629645439808,1.5112195565996296
1425.349487,5994,3.0459174339898776,1.5162818733074572
1428.663459,5984,3.0392141924801797,1.5172386913862674
1431.973032,5818,2.9535093864538595,1.5296616445865838
1435.278205,5939,3.012717431555666,1.521041599714272
1438.578979,5872,2.9734204969541684,1.526743669135679
1441.875354,5832,2.948820370726182,1.5303516819678473
1446.263678,5899,2.9769474555400794,1.5262288307783294
1449.549788,5817,2.933241895387594,1.532652120619796
1452.831499,5751,2.8996102593061304,1.5376603723105606
1456.108811,5794,2.9222334861529307,1.5342850869312512
1459.381724,5792,2.921858447258235,1.5343408277801442
